dataset,method,seed,asset,subset,n,horizon,mse,mae,mape
celebrity,Time-MoE,0,DOGE,all,719,18,0.0035190138555732716,0.04423437770119297,4.3634482630710805
celebrity,Time-MoE,0,DOGE,all,719,19,0.003722974789201088,0.045342262746229954,4.470431001538496
celebrity,Time-MoE,0,DOGE,all,719,20,0.003929773786185493,0.046427369698032385,4.573864973840748
celebrity,Time-MoE,0,DOGE,all,719,21,0.0041406614177367865,0.04744639142995418,4.669750207332881
celebrity,Time-MoE,0,DOGE,all,719,22,0.004349319344192165,0.04846198858903081,4.765604365506028
celebrity,Time-MoE,0,DOGE,all,719,23,0.004551010675930914,0.04945726843967889,4.8588162050143024
celebrity,Time-MoE,0,DOGE,all,719,24,0.00475418278123808,0.050429809740090405,4.949163239811129
celebrity,Time-MoE,0,DOGE,event,98,1,0.00013489001950359918,0.008479758792993973,0.8530552266272096
celebrity,Time-MoE,0,DOGE,event,98,2,0.00032789246550145795,0.013006691421781267,1.3050760464805253
celebrity,Time-MoE,0,DOGE,event,98,3,0.0003876784464866788,0.015041174937267693,1.5017981909571292
celebrity,Time-MoE,0,DOGE,event,98,4,0.0006234734777927954,0.01823942089567379,1.8148140016438308
celebrity,Time-MoE,0,DOGE,event,98,5,0.0008860112809273273,0.02226985169916737,2.2122823712168342
celebrity,Time-MoE,0,DOGE,event,98,6,0.0012015938002707847,0.0261257211772763,2.6009417123548424
celebrity,Time-MoE,0,DOGE,event,98,7,0.0015925113925947486,0.030020876806609486,2.9765263997839573
celebrity,Time-MoE,0,DOGE,event,98,8,0.001894437140602708,0.032544975986286084,3.226328799296073
celebrity,Time-MoE,0,DOGE,event,98,9,0.002193901985376478,0.03564223343012284,3.545880321861999
celebrity,Time-MoE,0,DOGE,event,98,10,0.0024210946093464318,0.03803096255477594,3.779015282804593
celebrity,Time-MoE,0,DOGE,event,98,11,0.0027216264276281334,0.03949500225028213,3.891754524661492
celebrity,Time-MoE,0,DOGE,event,98,12,0.002955271239612689,0.041499892059637576,4.077999528370976
celebrity,Time-MoE,0,DOGE,event,98,13,0.002998364335908614,0.041279013059577166,4.060746657689368
celebrity,Time-MoE,0,DOGE,event,98,14,0.003568276696951145,0.04519371414671139,4.434912519649108
celebrity,Time-MoE,0,DOGE,event,98,15,0.0038394210303487105,0.04613413798565767,4.527147974069058
celebrity,Time-MoE,0,DOGE,event,98,16,0.0040399349674441545,0.047775620708660205,4.695289991174005
celebrity,Time-MoE,0,DOGE,event,98,17,0.004431738039410635,0.04849614659134222,4.7634309559275385
celebrity,Time-MoE,0,DOGE,event,98,18,0.004650066143255809,0.05059118538486714,4.985152219424058
celebrity,Time-MoE,0,DOGE,event,98,19,0.004674285184262114,0.05087749203857111,5.000237451860079
celebrity,Time-MoE,0,DOGE,event,98,20,0.004917503615126274,0.051903595121539366,5.066004327854703
celebrity,Time-MoE,0,DOGE,event,98,21,0.005259526228507832,0.052863221995684564,5.138062506726185
celebrity,Time-MoE,0,DOGE,event,98,22,0.005427477634833651,0.05412132399422782,5.268291836786695
celebrity,Time-MoE,0,DOGE,event,98,23,0.005421360012915273,0.05451700152183066,5.325335848524434
celebrity,Time-MoE,0,DOGE,event,98,24,0.005712863058425373,0.055946480254737696,5.474481436241946
celebrity,Time-MoE,0,ETH,all,719,1,7.45458130380554e-05,0.006173570149465462,0.6165501558060289
celebrity,Time-MoE,0,ETH,all,719,2,0.00016645351541899348,0.009165015688194519,0.9132096363202027
celebrity,Time-MoE,0,ETH,all,719,3,0.00026420440182464114,0.011704167586871745,1.1642003399911895
celebrity,Time-MoE,0,ETH,all,719,4,0.0003755335831183225,0.013774121006606186,1.36677295657891
celebrity,Time-MoE,0,ETH,all,719,5,0.0004975853331956149,0.015825713874567535,1.5666488062370283
celebrity,Time-MoE,0,ETH,all,719,6,0.0006291858785356331,0.01755978716265343,1.733525231199478
celebrity,Time-MoE,0,ETH,all,719,7,0.0007798522447419223,0.019304786089895828,1.900331094345376
celebrity,Time-MoE,0,ETH,all,719,8,0.0009359040621224963,0.021068486782705335,2.0693541003504166
celebrity,Time-MoE,0,ETH,all,719,9,0.0010829584015880083,0.022561009470710172,2.211329749757009
celebrity,Time-MoE,0,ETH,all,719,10,0.0012493939412900794,0.024062254995895194,2.354063137651901
celebrity,Time-MoE,0,ETH,all,719,11,0.0014184154992439362,0.02546280141665972,2.4861715610280615
celebrity,Time-MoE,0,ETH,all,719,12,0.0015860598606554418,0.02672052764759939,2.6035685519919984
celebrity,Time-MoE,0,ETH,all,719,13,0.001765170792438732,0.0279657247169293,2.718669885450603
celebrity,Time-MoE,0,ETH,all,719,14,0.0019478818613887648,0.029136304978037743,2.8262108162010384
celebrity,Time-MoE,0,ETH,all,719,15,0.0021200717976636563,0.03016581066128939,2.91898185820047
celebrity,Time-MoE,0,ETH,all,719,16,0.002297252822897626,0.031239563715806093,3.0166742388300576
celebrity,Time-MoE,0,ETH,all,719,17,0.002458295953934436,0.03210763631178706,3.09388134019936
celebrity,Time-MoE,0,ETH,all,719,18,0.0026268835380812436,0.03311902077373775,3.1858505623060602
celebrity,Time-MoE,0,ETH,all,719,19,0.0027936742589187795,0.03400618310432275,3.2652785716646244
celebrity,Time-MoE,0,ETH,all,719,20,0.0029523961981742933,0.0348143756638316,3.336493194432424
celebrity,Time-MoE,0,ETH,all,719,21,0.003120881197569338,0.03560525999613034,3.405257653136673
celebrity,Time-MoE,0,ETH,all,719,22,0.003291726587345699,0.03650529253632037,3.4847154584992066
celebrity,Time-MoE,0,ETH,all,719,23,0.003463149354133698,0.03730277889129681,3.5535013908113946
